[2026-05-20T13:43:06] server start port=8787 root=H:\FDTD outcome\struct\群论_struct
[2026-05-20T13:53:56] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:53:57] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:53:59] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:00] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:01] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:02] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:03] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:04] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:05] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:06] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:07] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:08] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:09] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:10] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:11] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:12] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:13] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:14] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:15] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:16] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:17] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:18] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:19] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:20] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:21] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:22] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:23] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:24] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:25] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:43] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:54:44] "GET /api/v2/bootstrap HTTP/1.1" 200 -
[2026-05-20T13:58:23] server start port=8787 root=H:\FDTD outcome\struct\群论_struct
[2026-05-20T13:58:25] "GET /api/v2/bootstrap HTTP/1.1" 200 -
[2026-05-20T14:32:55] server start port=8787 root=H:\FDTD outcome\struct\群论_struct
[2026-05-20T14:32:55] server start port=8788 root=H:\FDTD outcome\struct\群论_struct
[2026-05-20T14:32:57] "GET /api/v2/bootstrap HTTP/1.1" 200 -
[2026-05-20T14:32:57] "GET /api/v2/runs?page=1&page_size=5 HTTP/1.1" 200 -
[2026-05-20T14:32:57] "GET /api/v2/cache/chunk?name=spectra&page=1&page_size=3 HTTP/1.1" 200 -
[2026-05-20T14:32:57] "GET /api/v2/preload/status HTTP/1.1" 200 -
